procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6 20      0 326923648 352372 139551136    0    0 679104     0 21295 17251  8  5 61 26  0
 5 22      0 326495232 352380 139619968    0    0 704540     0 23582 23371  8  5 61 26  0
 4 22      0 325985760 352380 139696368    0    0 723668     0 28023 27636  8  4 63 25  0
 6 21      0 323729248 352368 139779200    0    0 703856     0 22719 20117  7  5 62 26  0
 6 22      0 317531104 352372 139864608    0    0 706964   116 22466 17901  9  5 61 25  0
 6 22      0 314517344 352380 139759616    0    0 720064     0 24399 18659  9  6 61 24  0
 5 22      0 319802496 352384 133425288    0    0 737592     0 24632 18294  9  7 61 23  0
 3 19      0 324903296 352388 126799648    0    0 716048     0 23029 18124  8  7 61 24  0
 4 19      0 323941184 352368 126851328    0    0 680812     0 19959 17039  6  5 61 29  0
 3 18      0 319994720 352368 126915784    0    0 665284     0 19014 16518  6  4 61 29  0
 9 10      0 313305664 352372 126963088    0    0 650576    44 18837 15952  5  4 61 30  0
 2 17      0 309794720 352368 126308880    0    0 628696     0 18778 16827  5  5 61 30  0
 3 15      0 317804960 352364 119003808    0    0 619716     0 19723 16770  5  6 62 27  0
 3 14      0 323783680 352368 113917496    0    0 601632     0 18877 16259  5  5 64 26  0
 3 14      0 324759552 352368 114007248    0    0 604488     0 18189 15400  4  4 65 27  0
 6 10      0 318750688 352368 114082968    0    0 593672     4 17606 14304  5  4 65 26  0
12  4      0 318333632 352372 114157840    0    0 565936     0 21812 15778  5  5 67 22  0
 8  7      0 316403648 352364 114191128    0    0 550020    40 22001 14556  4  7 68 21  0
 3 11      0 313317760 352360 114231952    0    0 551376     0 20582 14395  3  6 69 21  0
 4 10      0 315878272 352344 111222208    0    0 541472    32 25698 14510  4  6 70 20  0
 7  4      0 322904064 352340 103892472    0    0 479656     0 20456 14596  5  6 74 15  0
 6  1      0 325006592 352332 101147424    0    0 372056     0 15110 9910  7  4 83  6  0
 7  1      0 327264576 352332 101185136    0    0 219604     0 21047 8449  9  6 83  2  0
 7  3      0 324922752 352340 101212192    0    0 289344     0 18423 8620  8  6 83  4  0
11  1      0 321494880 352348 101252456    0    0 397684     0 21562 10303  7  7 79  7  0
 4  5      0 318727968 352352 101259808    0    0 421312     0 28389 11200  8  8 77  7  0
 5  8      0 315874208 352352 101188472    0    0 487188    44 25104 22649  7  6 76 11  0
 5  8      0 314600224 352336 100005776    0    0 525340     0 17954 12766  7  6 73 13  0
15  2      0 313317792 352340 99100768    0    0 263072     4 190270 485187  3 11 74 13  0
 4  6      0 312697664 352340 98946296    0    0 38656     0 294139 916621  1 14 75 11  0
12  1      0 317791296 352336 93504752    0    0 290956     0 188205 487062  2 11 74 12  0
 8  7      0 325911360 352336 85873904    0    0 209064     0 230175 619159  1 12 74 12  0
 1 11      0 326636672 352344 85848680    0    0 536784    44 83454 157095  5  6 73 16  0
 6 13      0 327835200 352344 85851928    0    0 469720     0 114542 239766  4  7 72 17  0
 5 10      0 325605984 352348 85806256    0    0 511140     8 106592 203799  5  7 69 19  0
 8  9      0 323504032 352348 85815416    0    0 10304     0 271794 832834  1 16 71 12  0
 9  9      0 321523904 352348 85812112    0    0  5888     0 278615 852781  0 16 71 12  0
 8  9      0 319310912 352348 85811264    0    0  7296     0 274303 835603  1 16 72 12  0
 9  9      0 316958048 352352 85813176    0    0 10116    36 274958 848429  1 16 71 12  0
 4 12      0 314818848 352352 85816688    0    0  9856     0 283633 943732  1 17 71 11  0
 8  8      0 313888000 352352 85807072    0    0  8832     0 294749 920874  0 16 72 12  0
 4 14      0 318358912 352352 81032616    0    0 501888    28 139917 289338  3 10 68 19  0
 4 13      0 323916896 352340 73496464    0    0 517124     0 111732 200713  4  9 68 19  0
 4 11      0 324403360 352340 72534168    0    0 478104     0 122582 232319  5  7 68 21  0
 8 10      0 323734368 352344 72580176    0    0 597132     0 48360 68466  7  5 65 23  0
12 11      0 321475520 352348 72499080    0    0 359692     0 146325 379233  4 10 66 20  0
 4  8      0 319350816 352348 72506576    0    0  8448     0 276214 857902  0 17 69 13  0
 8  7      0 317181440 352348 72517848    0    0  9728    48 281149 931549  1 17 69 13  0
12 12      0 314962304 352348 72518560    0    0 10112     0 282531 963150  1 18 70 12  0
 6 13      0 312824384 352348 72516928    0    0 10112     0 283066 993021  0 18 70 12  0
 8  8      0 310745216 352348 72521296    0    0  8576     0 279660 940285  1 18 69 13  0
 6 15      0 311533504 352348 71533872    0    0 289700    40 223324 668452  2 13 67 18  0
 2 16      0 318942656 352348 64113944    0    0 466168     0 134472 328930  3  9 65 22  0
 3 13      0 324011488 352348 59261908    0    0 533872     0 66593 111357  3  6 67 24  0
 4 15      0 323384736 352348 59261824    0    0 575160     0 57174 82611  5  5 67 24  0
 6 13      0 324695360 352348 59300172    0    0 576124     0 43486 53728  7  5 64 24  0
14  5      0 322993504 352348 59199824    0    0 107124     0 227399 674800  1 15 67 16  0
